index,user_id,date,comment
0,andres3,"February 25, 2020 11:44AM","benjaminhsaid:roadburnersaid:I'm still giving a hard look to the Stinger GTS. Normally you would have to beat me with a stick to consider an AWD car, but the GTS D-AWD system allows the driver to select the default F/R torque split all the way up to sending 100% of the power to the rear axle, which is also fitted with a mechanical LSD- a feature rarely found in AWD cars. My only real gripe is that the GTS isn't any faster than my 2er. I was hoping to get something legitimately quicker- running the quarter in the mid to low twelves.Am I remembering correctly that the KIA Stinger is build on the same basic platform as the Genesis G70?And did I also hear that the Stinger has lease incentives of up to $10k?Sounds like an amazing deal on an impressive car....https://www.youtube.com/watch?v=38nDEvihRUkDid you hear about the Key FOB scam the dealership and Kia Finance are in cahoots on?  Basically, the way it works is they ""doctor"" paperwork behind closed doors to show 1 Key FOB returned, even if you returned two.  Then they say the reason you weren't given a return receipt in writing on the drop off date is that the lease manager wasnt' there to do it."
1,dino001,"February 25, 2020 1:51PM","Michaellsaid:benjaminhsaid:Michaellsaid:dino001said:BTW, I looked into incentives on Stinger.  Up to 9.5 grand, but only if you take the specific lease through a captive program (24 month for the highest rebate) plus 1.5K conquest and whatever else may come, which can still be a great deal, considering the residual will likely be inflated vs. real value.  That's insane.  I think they overproduced big time, especially those ""GT+"" models.$12,200 lease cash for 24 months on GT2 AWD.6 trim levels have lease cash at or above $10K for 24 month terms.Many, many people are ""leasing"", then immediately buying out the lease.That's a jaw-dropping lease incentive. Amazing deal.And, that's on top of any discount you negotiate off the MSRP.However, the 24/10 residual on the aforementioned GT2 AWD is only 51%, and the MF is .00191, or 4.58%.The GT2 stickers for north of $50K, IIRC.So, if my rough math is right, say $50K MSRP, 10K incentive, additional $2K off the sticker, we get $25K residual, i.e. $542 capital payment +$120 financial payment +whatever fees and taxes = $640+fees/taxes/month with zero down, say $700-720 per month on a short term 24-month lease.  Similarly priced (MSRP) BMW 3-series (essentially entry level 330) even at higher residual (say 61%,, and lower MF, say 0.00142), if gotten with say $4K off the sticker would probably be slightly more.  However, load that bimmer up to get similar equipment and performance and you're adding at least couple of hundred bucks."
2,benjaminh,"February 25, 2020 2:11PM","I think the big Stinger incentives are for 2019 models, but for the Acura TLX it's for the 2020s. And so on the other hand you might consider a 2020 TLX V-6 with super-handling AWD for c. $400 a month with $2500 down, although for that you need to currently have either an Acura or another luxury brand on their list.https://www.acura.com/tools/current-luxury-car-suv-offers-leasingFEATURED STANDARD LEASEExpires 03/02/202020 TLX 9 Speed Automatic SH-AWD Featured Special Loyalty/Conquest Lease. For well-qualified lessees who currently own a 2010 or newer Acura, Audi, BMW, Buick, Cadillac, Genesis, Honda, Infiniti, Lexus, Lincoln, Mercedes Benz or Volvo vehicle.$389 Per month for 36 months.$2,499 Total due at signing"
3,roadburner,"February 25, 2020 2:33PM","Michaellsaid:$12,200 lease cash for 24 months on GT2 AWD.6 trim levels have lease cash at or above $10K for 24 month terms.Many, many people are ""leasing"", then immediately buying out the lease.That's what I'm considering doing with the 2019 GTS I found It's just crazy."
4,tjc78,"February 25, 2020 3:37PM","I did the math on this example:https://www.kiaofcherryhill.com/search/new-kia-stinger-cherry-hill-nj/?s:pr=0&cy=08002&md=7494&mk=30&tp=new54K MSRP.  I'm thinking you get this below invoice (50,726) so let's say selling price is $49500.The payment here in NJ with tax and only first payment OOP is $670.  Acq fee is $595, 450 doc, 400 RegI like the Stinger a lot, but for nearly $700 I'd be forced to look at other options if I was set on leasing."
5,benjaminh,"February 26, 2020 2:22AM","Almost all entry level luxury cars are turbos these days, but this recent video by ""Engineering Explained"" tries to make the case for the advantages of naturally aspirated engines.https://www.youtube.com/watch?v=m2qExaEwn0g"
6,breld,"February 26, 2020 3:03PM","roadburnersaid:Michaellsaid:$12,200 lease cash for 24 months on GT2 AWD.6 trim levels have lease cash at or above $10K for 24 month terms.Many, many people are ""leasing"", then immediately buying out the lease.That's what I'm considering doing with the 2019 GTS I found It's just crazy.It makes sense and is easy enough to do.I did it on a Passat a while back.  And a friend of my wife's wanted a Kona last year - the incentives were significant but specific to a lease, so I helped her get the lease done and then she bought it out within a month or two.Lease incentives on my V90 XC were similar to the Stinger deal, to the point I got nearly $20k off MSRP.  As with the Kia, the money factor equates to an interest rate around 5%, so I've considered buying out the lease to reduce the interest expense.  I may still do it, but with average rates around 3.5%, it doesn't actually save a lot of money, and I lose the risk reduction with being under a lease."
7,stickguy,"February 26, 2020 5:16PM","they don't have to sue.  They can just turn it over to their collection agency, who's primary mission is life is to make your life miserable over chump change."
8,andres3,"February 27, 2020 8:15AM","kyfdxsaid:stickguysaid:they don't have to sue.  They can just turn it over to their collection agency, who's primary mission is life is to make your life miserable over chump change.And, affect your credit ratingI suppose the credit score keepers are in the pocket of the banks...... but at least there, there is a system in place to dispute inaccuracies.  You can probably thank the Democrats for this Consumer protection.   One of the good things they have done, as was HARP 2.0.  (though CASH4CLUNKERS and bailouts were an abomination)."
9,benjaminh,"April 6, 2020 10:56AM","Entry-level luxury sales in the US for the first three months of 2020....Smaller sedans:ILX 2,741A3 2,2372series 1,772Regal 1,202CT4 41Midsize sedans3series 10,613ES 9,247Q50 5,757TLX 5,484A4 3,949MKZ 3,482CT5 3,000IS 2,712S60 2,635G70 2,074Giulia 1,759"
